Date,Prefecture,Newly confirmed cases,1
2020/02/01,Yamaguchi,0,1
2020/02/01,Tokushima,0,1
2020/02/01,Kagawa,0,1
2020/02/01,Ehime,0,1
2020/02/01,Kochi,0,1
2020/02/01,Fukuoka,0,1
2020/02/01,Saga,0,1
2020/02/01,Nagasaki,0,1
2020/02/01,Kumamoto,0,1
2020/02/01,Oita,0,1
2020/02/01,Miyazaki,0,1
2020/02/01,Kagoshima,0,1
2020/02/01,Okinawa,0,1
2020/02/02,ALL,0,1
2020/02/02,Hokkaido,0,1
2020/02/02,Aomori,0,1
2020/02/02,Iwate,0,1
2020/02/02,Miyagi,0,1
2020/02/02,Akita,0,1
2020/02/02,Yamagata,0,1
2020/02/02,Fukushima,0,1
2020/02/02,Ibaraki,0,1
2020/02/02,Tochigi,0,1
2020/02/02,Gunma,0,1
2020/02/02,Saitama,0,1
2020/02/02,Chiba,0,1
2020/02/02,Tokyo,0,1
2020/02/02,Kanagawa,0,1
